Title,Location,Price,Images,Meta Data,Feature,Description,URL
Realme C11 (Used),"Posted on 07 Mar 11:15 pm, Maulvi Bazar, Sylhet Division","Tk 6,000","['realme-c11-used-for-sale-sylhet-division-12@189e7696-3ca5-4847-9b0d-ce0926cf78ed', 'realme-c11-used-for-sale-sylhet-division-12@9d33d6e6-60ac-475d-b5be-d31cb2496d85']","{'Condition': 'Used', 'Brand': 'Realme', 'Model': 'C11', 'Authenticity': 'Original'}",N/A,N/A,"https://bikroy.com/en/ad/oneplus-9-pro-12gb-256gb-global-new-for-sale-chattogram
"
Samsung Galaxy A7 . (Used),"Posted on 07 Mar 11:15 pm, Dhanmondi, Dhaka","Tk 9,000","['samsung-galaxy-a7-2018-used-for-sale-dhaka-1198@36e47e09-eda8-4d84-9c52-a38ab304941d', 'samsung-galaxy-a7-2018-used-for-sale-dhaka-1198@a046a850-ca7c-41d0-8834-284913c499d1']","{'Condition': 'Used', 'Brand': 'Samsung', 'Model': 'Galaxy A7', 'Edition': '.', 'Authenticity': 'Original'}","Bluetooth, Camera, Dual SIM, Expandable Memory, Fingerprint Sensor, GPS, 3G, 4G, Touch screen",N/A,"https://bikroy.com/en/ad/oppo-a57-3-32-new-for-sale-barishal-7
"
